trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.6570468198150567}",25,0,-93.83721806905162,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.6505090947233165}",20,14,-4.048083181117369,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.6440364210831414}",30,12,12.416561838462606,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.6376281516217733}",20,0,-52.809237133922366,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.631283645506926}",25,0,-103.58483369871381,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.6250022682827008}",20,11,-7.5177731922882565,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,0,-69.95776547398177,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.6126263941844161}",20,0,-15.626864755280831,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.6065306597126334}",30,10,-76.24248582659148,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.3, 'e': 0.6004955788122659}",20,0,6.825650160757207,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.5945205479701944}",20,0,-51.50382452951621,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.3, 'e': 0.5886049696783552}",20,6,-52.71689876425748,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.3, 'e': 0.5827482523739896}",30,0,-40.17553866441504,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.5769498103804866}",30,0,-115.81252733646788,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
56,False,"{'a': 0.3, 'e': 0.5712090638488149}",25,9,-80.48075574528252,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
57,False,"{'a': 0.3, 'e': 0.5655254386995371}",30,6,-39.17676596629269,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.559898366565402}",25,18,-40.52370664332884,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.3, 'e': 0.5543272847345071}",20,0,-79.22276573676174,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
60,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,0,-55.36823943785521,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.3, 'e': 0.5433508690744998}",25,0,-125.6156287797627,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
62,False,"{'a': 0.3, 'e': 0.5379444375946745}",20,13,-12.542424249785617,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.5325918010068972}",20,6,7.305008560202652,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.5272924240430485}",20,0,-6.461626767872332,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.3, 'e': 0.522045776761016}",20,0,-53.581159089200895,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
66,False,"{'a': 0.3, 'e': 0.5168513344916992}",30,10,-90.75610171685044,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
67,False,"{'a': 0.3, 'e': 0.5117085777865424}",25,13,-2.872600922994554,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.5066169923655895}",20,0,-125.5139051250971,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.3, 'e': 0.5015760690660555}",20,0,-88.08073428822172,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.3, 'e': 0.49658530379140947}",30,12,7.391978005401047,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.4916441974609651}",25,12,-0.356525207432985,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.4867522559599717}",25,0,-34.55883666181114,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.48190899009020244}",25,0,-182.14245900009377,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
74,False,"{'a': 0.3, 'e': 0.4771139155210344}",20,14,13.15181064506681,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.4723665527410147}",25,0,-41.542942823480324,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.3, 'e': 0.46766642700990924}",30,0,-189.32435587302905,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
77,False,"{'a': 0.3, 'e': 0.46301306831122807}",20,0,-124.00219954988329,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
78,False,"{'a': 0.3, 'e': 0.4584060113052235}",25,0,-61.89802743975946,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.3, 'e': 0.45384479528235583}",25,4,6.463891137567298,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
